run,suite,task,metric,step,value,stderr,checkpoint,result_file
attempt_00_local_batch_2,pretrain,coqa,"f1,none",100,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_99,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_99/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_99__model__consolidated/results_2026-09-03T14-11-29.696734.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",200,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_199,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_199/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_199__model__consolidated/results_2026-09-03T14-12-02.372956.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",300,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_299,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_299/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_299__model__consolidated/results_2026-09-03T14-12-35.455466.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",400,0.0012902536508674616,0.0007266828227606386,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_399,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_399/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_399__model__consolidated/results_2026-09-03T14-13-08.452515.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",500,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_499,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_499/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_499__model__consolidated/results_2026-09-03T14-13-42.822580.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",600,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_599,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_599/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_599__model__consolidated/results_2026-09-03T14-14-14.128827.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",700,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_699,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_699/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_699__model__consolidated/results_2026-09-03T14-14-46.972975.json
attempt_00_local_batch_2,pretrain,coqa,"f1,none",800,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_799,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_799/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_799__model__consolidated/results_2026-09-03T14-15-18.713617.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,6,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+16flops/trial_0021/attempt_00_local_batch_2/checkpoints/epoch_0_step_5,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_5/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+16flops__trial_0021__attempt_00_local_batch_2__checkpoints__epoch_0_step_5__model__consolidated/results_2026-09-03T14-09-26.671314.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,100,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_99,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_99/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_99__model__consolidated/results_2026-09-03T14-11-29.696734.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,200,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_199,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_199/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_199__model__consolidated/results_2026-09-03T14-12-02.372956.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,300,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_299,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_299/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_299__model__consolidated/results_2026-09-03T14-12-35.455466.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,400,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_399,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_399/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_399__model__consolidated/results_2026-09-03T14-13-08.452515.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,500,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_499,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_499/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_499__model__consolidated/results_2026-09-03T14-13-42.822580.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,600,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_599,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_599/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_599__model__consolidated/results_2026-09-03T14-14-14.128827.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,700,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_699,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_699/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_699__model__consolidated/results_2026-09-03T14-14-46.972975.json
attempt_00_local_batch_2,pretrain,coqa,sample_len,800,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_799,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_799/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_799__model__consolidated/results_2026-09-03T14-15-18.713617.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",6,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+16flops/trial_0021/attempt_00_local_batch_2/checkpoints/epoch_0_step_5,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_5/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+16flops__trial_0021__attempt_00_local_batch_2__checkpoints__epoch_0_step_5__model__consolidated/results_2026-09-03T14-09-26.671314.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",100,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_99,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_99/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_99__model__consolidated/results_2026-09-03T14-11-29.696734.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",200,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_199,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_199/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_199__model__consolidated/results_2026-09-03T14-12-02.372956.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",300,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_299,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_299/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_299__model__consolidated/results_2026-09-03T14-12-35.455466.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",400,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_399,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_399/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_399__model__consolidated/results_2026-09-03T14-13-08.452515.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",500,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_499,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_499/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_499__model__consolidated/results_2026-09-03T14-13-42.822580.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",600,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_599,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_599/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_599__model__consolidated/results_2026-09-03T14-14-14.128827.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",700,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_699,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_699/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_699__model__consolidated/results_2026-09-03T14-14-46.972975.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,flexible-extract",800,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_799,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_799/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_799__model__consolidated/results_2026-09-03T14-15-18.713617.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",6,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+16flops/trial_0021/attempt_00_local_batch_2/checkpoints/epoch_0_step_5,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_5/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+16flops__trial_0021__attempt_00_local_batch_2__checkpoints__epoch_0_step_5__model__consolidated/results_2026-09-03T14-09-26.671314.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",100,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_99,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_99/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_99__model__consolidated/results_2026-09-03T14-11-29.696734.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",200,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_199,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_199/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_199__model__consolidated/results_2026-09-03T14-12-02.372956.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",300,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_299,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_299/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_299__model__consolidated/results_2026-09-03T14-12-35.455466.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",400,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_399,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_399/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_399__model__consolidated/results_2026-09-03T14-13-08.452515.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",500,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_499,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_499/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_499__model__consolidated/results_2026-09-03T14-13-42.822580.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",600,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_599,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_599/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_599__model__consolidated/results_2026-09-03T14-14-14.128827.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",700,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_699,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_699/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_699__model__consolidated/results_2026-09-03T14-14-46.972975.json
attempt_00_local_batch_2,pretrain,gsm8k,"exact_match,strict-match",800,0.0,0.0,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_799,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_799/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_799__model__consolidated/results_2026-09-03T14-15-18.713617.json
attempt_00_local_batch_2,pretrain,gsm8k,sample_len,6,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+16flops/trial_0021/attempt_00_local_batch_2/checkpoints/epoch_0_step_5,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_5/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+16flops__trial_0021__attempt_00_local_batch_2__checkpoints__epoch_0_step_5__model__consolidated/results_2026-09-03T14-09-26.671314.json
attempt_00_local_batch_2,pretrain,gsm8k,sample_len,100,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_99,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_99/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_99__model__consolidated/results_2026-09-03T14-11-29.696734.json
attempt_00_local_batch_2,pretrain,gsm8k,sample_len,200,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_199,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_199/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_199__model__consolidated/results_2026-09-03T14-12-02.372956.json
attempt_00_local_batch_2,pretrain,gsm8k,sample_len,300,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_299,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_299/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_299__model__consolidated/results_2026-09-03T14-12-35.455466.json
attempt_00_local_batch_2,pretrain,gsm8k,sample_len,400,20.0,,/data/picoformer/outputs/scaling/qwen3_5_135m_135136414p_1e+17flops/trial_0005/attempt_00_local_batch_2/checkpoints/epoch_0_step_399,/home/alex/Documents/025_LLM/Picoformer/results/evaluations/attempt_00_local_batch_2/epoch_0_step_399/pretrain/smoke/__data__picoformer__outputs__scaling__qwen3_5_135m_135136414p_1e+17flops__trial_0005__attempt_00_local_batch_2__checkpoints__epoch_0_step_399__model__consolidated/results_2026-09-03T14-13-08.452515.json
